,age,gender,is_married,is_hereditary,weight,height,is_smoker,stress,bald_prob
0,27,0,1,0,54.3,170.4,1,5,0.606
1,53,0,1,0,72.9,165.5,0,7,0.532
2,37,0,1,0,46.3,154.6,0,4,0.418
3,36,0,1,0,51.5,167.3,1,9,0.804
4,38,1,1,0,60.7,165.5,1,1,0.368
5,55,0,1,1,54.3,179.2,0,1,0.733
6,40,0,1,0,54.8,177.4,0,2,0.193
7,47,1,1,0,74.8,170.5,1,3,0.541
8,41,1,1,0,55.0,157.2,0,6,0.368
9,46,0,1,0,52.8,174.4,0,4,0.403
10,34,1,1,1,43.7,151.1,0,2,0.594
11,40,1,1,0,81.1,167.5,0,1,0.359
12,41,1,1,0,48.0,152.1,1,4,0.615
13,26,1,1,1,54.0,175.8,1,1,0.612
14,45,1,1,1,54.5,167.9,1,3,1.0
15,21,1,1,0,45.1,151.9,1,5,0.609
16,33,1,1,0,49.2,166.0,1,7,0.446
17,54,1,1,0,69.4,175.1,1,6,0.76
18,38,1,1,0,53.1,187.8,0,9,0.932
19,38,0,1,1,65.4,169.2,1,4,0.612
20,49,1,1,0,62.7,176.6,1,4,0.606
21,39,1,1,1,59.8,179.2,1,10,0.912
22,52,1,1,1,59.4,171.6,0,6,0.825
23,27,1,1,0,58.7,164.3,1,1,0.508
24,29,1,1,1,49.1,162.9,0,9,0.961
25,45,1,1,1,57.8,174.3,1,1,0.824
26,25,0,1,1,53.6,166.8,1,7,0.807
27,24,1,1,0,47.0,163.2,0,5,0.422
28,35,1,1,0,44.4,160.4,0,10,0.615
29,50,1,1,0,48.0,169.0,0,8,0.618
30,28,1,1,0,79.9,191.6,0,3,0.45
31,49,0,1,0,47.7,170.2,1,10,0.572
32,42,1,1,1,52.2,161.3,0,4,0.705
33,34,0,1,0,46.1,164.9,0,6,0.337
34,42,1,1,1,59.4,187.1,0,3,0.731
35,34,1,1,0,73.0,164.2,0,2,0.382
36,40,0,1,0,67.9,175.8,1,10,0.522
37,54,1,1,0,47.6,160.9,1,3,0.65
38,38,1,1,0,46.3,157.9,1,4,0.363
39,40,0,1,1,46.0,151.5,0,1,0.406
40,45,0,1,0,50.7,150.4,0,3,0.508
41,44,1,1,1,46.3,148.7,0,6,0.827
42,43,0,1,0,47.7,163.3,0,7,0.597
43,40,0,1,0,64.8,182.3,1,7,0.336
44,36,1,1,1,57.4,161.5,1,3,0.77
45,55,1,1,0,42.3,154.5,0,2,0.564
46,26,0,1,1,60.8,167.8,1,7,0.716
47,47,1,1,0,54.0,158.1,1,10,0.738
48,55,1,1,0,52.2,176.2,0,1,0.625
49,19,1,0,0,46.9,151.2,1,1,0.444
50,30,0,1,0,73.2,190.8,1,1,0.311
51,54,1,1,0,63.5,190.4,0,4,0.456
52,39,1,1,0,53.5,161.5,1,8,0.645
53,43,0,1,1,47.1,176.6,1,2,0.7
54,47,1,1,0,59.9,163.0,0,4,0.572
55,40,1,1,1,63.2,162.1,1,10,0.768
56,33,1,1,0,50.2,157.3,1,4,0.466
57,52,1,1,0,54.3,181.5,0,9,0.834
58,37,1,1,0,49.0,162.3,1,4,0.53
59,49,1,1,0,44.0,180.1,0,1,0.532
60,47,1,1,0,59.5,173.3,0,9,0.562
61,42,0,1,0,44.7,180.9,0,1,0.427
62,63,1,1,0,58.9,146.4,0,8,0.706
63,51,1,1,0,58.1,168.9,1,5,0.767
64,56,1,1,0,58.1,163.0,0,3,0.484
65,34,0,1,1,69.0,186.0,1,2,0.609
66,44,0,1,0,44.0,157.7,0,8,0.558
67,35,0,1,0,47.5,159.5,1,1,0.212
68,54,1,1,1,56.3,188.4,0,10,0.917
69,51,0,1,0,48.7,163.1,1,6,0.712
70,32,0,1,0,51.5,160.0,1,4,0.301
71,39,0,1,0,53.7,170.6,1,1,0.437
72,35,0,1,1,51.2,155.9,0,5,0.419
73,37,0,1,0,50.0,162.9,0,3,0.166
74,35,1,1,0,56.9,170.4,0,7,0.501
75,30,0,1,0,53.4,177.7,1,2,0.223
76,38,1,1,0,88.2,175.6,0,9,0.457
77,34,1,1,0,45.0,149.5,1,6,0.697
78,62,1,1,0,60.2,166.6,0,3,0.59
79,44,0,1,0,55.2,153.1,1,3,0.389
80,18,1,0,1,57.6,177.2,0,9,0.567
81,41,0,1,0,52.8,187.4,0,8,0.27
82,35,1,1,0,52.9,165.3,0,8,0.511
83,36,0,1,0,55.8,184.6,0,8,0.377
84,29,0,1,0,50.5,159.8,0,8,0.501
85,50,1,1,0,57.1,184.4,0,3,0.56
86,23,1,1,1,57.2,174.8,0,4,0.517
87,49,1,1,1,55.9,153.7,0,5,0.655
88,33,0,1,0,57.0,163.1,1,1,0.473
89,50,1,1,0,63.6,154.9,0,5,0.637
90,44,1,1,0,59.1,162.1,0,2,0.373
91,43,1,1,0,72.8,178.3,1,10,0.89
92,35,0,1,1,57.0,177.6,1,5,0.717
93,22,0,1,0,46.2,170.4,0,7,0.384
94,37,1,1,0,47.7,159.4,0,3,0.512
95,58,1,1,0,43.4,175.6,1,7,0.852
96,51,1,1,0,55.7,182.1,0,2,0.653
97,44,1,1,0,47.6,175.8,0,6,0.414
98,50,0,1,0,51.4,155.7,1,8,0.614
99,18,1,0,0,45.8,163.2,0,9,0.417
100,26,1,1,0,59.4,174.1,1,4,0.415
101,36,0,1,0,51.7,177.1,0,2,0.218
102,33,1,1,1,44.7,154.3,0,6,0.769
103,37,1,1,0,59.8,153.2,1,2,0.458
104,33,1,1,0,69.1,176.2,0,4,0.256
105,37,1,1,0,63.3,167.2,1,6,0.823
106,36,0,1,1,48.4,170.0,0,4,0.619
107,21,1,1,0,53.5,171.5,0,5,0.799
108,32,0,1,0,42.4,170.8,0,4,0.433
109,49,0,1,0,57.5,165.7,1,1,0.386
110,37,1,1,0,52.0,163.7,0,6,0.332
111,41,0,1,0,59.8,177.0,1,5,0.515
112,49,1,1,0,52.0,149.1,0,8,0.622
113,36,1,1,0,46.8,142.3,0,7,0.405
114,40,1,1,1,45.1,179.0,0,8,0.734
115,40,1,1,0,52.1,167.2,1,6,0.513
116,53,1,1,0,56.7,168.7,0,1,0.632
117,56,0,1,0,46.9,165.6,1,4,0.565
118,40,1,1,0,58.4,159.8,1,6,0.561
119,33,1,1,1,50.5,166.2,1,4,0.712
120,39,1,1,1,70.1,155.9,1,6,0.832
121,31,0,1,0,44.4,168.1,0,6,0.372
122,42,1,1,0,48.7,146.7,0,3,0.5
123,46,1,1,0,51.2,181.4,1,5,0.648
124,38,1,1,0,53.0,165.1,0,1,0.419
125,32,1,1,0,49.5,156.9,0,2,0.426
126,51,1,1,1,62.1,153.2,1,1,0.88
127,50,1,1,0,58.3,160.4,1,6,0.637
128,40,1,1,0,58.8,167.6,1,10,0.686
129,25,0,1,0,84.6,175.9,0,8,0.376
130,17,1,0,0,44.8,157.4,1,4,0.426
131,23,1,1,0,62.6,182.3,0,4,0.5
132,44,0,1,1,58.5,158.3,1,3,0.703
133,36,1,1,0,52.0,159.6,1,8,0.637
134,33,1,1,0,88.6,192.3,0,7,0.519
135,25,1,1,0,56.1,159.3,0,2,0.326
136,30,0,1,0,67.9,169.9,0,8,0.403
137,54,0,1,0,93.5,201.2,1,4,0.481
138,32,1,1,0,47.6,182.1,1,1,0.475
139,54,1,1,0,48.1,172.0,1,3,0.252
140,49,1,1,0,50.2,156.7,1,5,0.309
141,41,0,1,0,64.0,167.3,0,9,0.592
142,53,1,1,0,56.6,170.3,0,3,0.563
143,39,1,1,0,51.4,165.4,0,1,0.433
144,30,1,1,0,50.9,182.4,1,4,0.508
145,40,1,1,0,78.0,175.6,1,6,0.455
146,11,0,0,0,54.2,168.8,0,10,0.374
147,35,0,1,0,75.6,194.4,1,4,0.457
148,37,0,1,0,46.1,157.1,0,4,0.223
149,38,1,1,1,47.6,161.6,0,5,0.7
150,42,0,1,0,48.7,175.6,1,4,0.532
151,37,1,1,0,50.8,153.6,0,7,0.447
152,52,1,1,0,69.9,172.6,1,5,0.72
153,31,1,1,0,68.6,160.6,1,9,0.983
154,47,1,1,0,49.0,156.8,0,7,0.528
155,46,1,1,0,52.4,165.5,0,2,0.536
156,35,0,1,1,48.6,186.5,0,9,0.75
157,55,0,1,0,57.5,178.6,1,10,0.625
158,56,1,1,0,67.0,169.5,1,2,0.523
159,34,1,1,0,45.7,153.2,0,3,0.358
160,45,1,1,0,55.4,182.7,0,10,0.447
161,48,1,1,0,48.2,166.4,1,3,0.701
162,28,1,1,0,54.5,164.7,0,3,0.74
163,48,0,1,1,49.5,159.2,1,2,0.603
164,27,1,1,1,69.7,177.0,0,8,0.688
165,61,1,1,0,50.2,152.7,0,7,0.689
166,50,0,1,1,67.8,167.9,0,9,0.716
167,57,1,1,0,55.7,173.9,0,7,0.79
168,31,1,1,1,57.6,170.1,0,2,0.422
169,39,1,1,0,69.6,174.2,0,8,0.586
170,47,1,1,0,55.1,173.7,0,3,0.519
171,52,1,1,1,59.2,166.9,0,3,0.989
172,28,1,1,0,57.4,160.0,0,3,0.289
173,45,1,1,0,50.6,172.0,1,4,0.699
174,60,1,1,0,59.4,170.0,1,3,0.534
175,34,1,1,0,66.9,179.3,1,3,0.508
176,29,1,1,0,61.8,178.5,0,5,0.437
177,41,1,1,0,67.5,174.6,0,9,0.715
178,38,1,1,1,54.7,155.7,1,4,0.487
179,47,0,1,1,65.5,166.4,1,4,0.611
180,42,0,1,0,53.8,190.0,0,8,0.355
181,45,1,1,0,48.1,183.1,1,8,0.735
182,26,1,1,1,60.0,153.4,1,6,0.819
183,40,1,1,1,60.0,169.2,0,6,0.679
184,19,1,0,0,48.6,166.8,0,10,0.294
185,41,0,1,0,47.6,175.4,0,9,0.583
186,50,0,1,0,49.2,163.2,0,3,0.545
187,44,1,1,0,56.0,172.9,0,7,0.653
188,35,1,1,0,51.4,160.3,1,7,0.625
189,28,1,1,0,71.8,173.1,0,10,0.466
190,53,0,1,1,92.9,192.7,1,9,0.794
191,39,1,1,0,61.6,170.4,1,3,0.612
192,32,1,1,0,44.4,154.6,0,9,0.471
193,51,0,1,0,69.0,167.2,1,6,0.677
194,48,1,1,0,64.0,182.3,0,3,0.49
195,42,0,1,0,56.5,163.1,1,6,0.63
197,58,1,1,0,49.1,150.1,0,3,0.692
198,37,1,1,0,44.0,162.0,0,4,0.514
199,39,1,1,0,53.5,156.7,1,2,0.486
200,36,1,1,0,52.1,156.7,1,10,0.667
201,37,1,1,0,49.7,166.7,1,2,0.571
202,28,1,1,0,67.4,154.0,0,7,0.409
203,39,1,1,0,75.1,185.7,0,10,0.462
204,40,0,1,0,53.7,184.5,1,4,0.435
206,34,1,1,0,53.5,175.5,0,10,0.475
207,35,1,1,0,44.2,150.9,1,6,0.529
208,49,0,1,0,49.8,167.4,0,4,0.486
209,42,1,1,0,50.1,174.4,0,8,0.587
210,38,1,1,0,41.9,175.7,0,10,0.614
211,47,1,1,0,62.1,184.8,1,4,0.574
212,48,1,1,0,74.5,186.9,0,7,0.917
213,42,1,1,0,51.2,177.4,0,5,0.624
214,38,1,1,0,54.3,168.7,1,1,0.476
215,39,1,1,0,51.8,153.9,0,10,0.585
216,42,1,1,0,54.2,178.1,1,2,0.691
217,41,0,1,0,56.0,158.1,0,9,0.4
218,47,0,1,1,51.6,161.5,0,5,0.578
219,24,1,1,0,73.6,179.8,1,4,0.528
220,34,1,1,0,54.5,157.3,0,4,0.34
221,41,1,1,0,52.6,154.6,1,9,0.693
222,41,1,1,0,53.7,149.5,1,4,0.611
223,31,1,1,1,54.1,171.3,1,8,0.916
225,40,1,1,0,61.0,160.0,0,4,0.366
226,53,1,1,0,50.8,150.4,0,6,0.728
227,48,1,1,0,59.6,184.2,0,4,0.551
228,34,1,1,1,61.8,164.4,1,4,0.735
229,49,1,1,0,48.9,188.6,1,2,0.689
230,31,0,1,0,62.8,158.6,0,8,0.674
231,30,1,1,0,63.1,160.1,0,7,0.486
232,22,0,1,0,46.7,166.9,0,2,0.235
233,41,0,1,1,59.0,156.1,0,9,0.687
234,46,1,1,0,58.8,170.1,1,3,0.61
235,24,0,1,1,65.2,169.9,1,2,0.602
236,35,1,1,0,62.4,188.1,1,6,0.478
237,40,0,1,1,55.5,143.7,1,9,0.665
238,43,1,1,0,66.8,192.8,1,6,0.765
239,33,1,1,1,66.1,174.0,0,10,0.665
240,47,1,1,0,55.6,164.5,0,4,0.482
241,40,1,1,0,49.3,173.5,0,6,0.34
242,38,1,1,0,55.0,162.6,1,2,0.544
243,45,1,1,0,51.2,169.3,1,4,0.566
244,40,1,1,0,56.6,179.8,0,1,0.276
245,28,1,1,0,44.0,145.2,0,4,0.433
246,34,1,1,0,67.1,166.0,0,4,0.45
247,35,1,1,0,59.9,156.8,1,10,0.458
248,41,1,1,0,49.6,158.9,0,1,0.585
249,36,1,1,0,45.6,162.9,0,8,0.605
250,61,1,1,1,46.0,156.4,1,10,1.0
251,27,0,1,0,45.5,161.7,1,2,0.36
252,22,0,1,1,58.7,177.1,0,6,0.523
253,22,1,1,0,48.3,155.4,1,5,0.361
254,33,0,1,0,86.4,188.3,0,6,0.286
255,67,1,1,0,47.2,169.0,0,2,0.474
256,40,0,1,0,57.0,155.5,1,5,0.456
257,30,0,1,0,64.5,187.2,1,10,0.528
258,36,1,1,0,67.2,173.9,1,1,0.55
259,35,1,1,1,51.9,163.9,0,8,0.77
260,43,1,1,0,51.6,179.9,0,7,0.435
261,37,1,1,0,48.4,148.1,0,7,0.511
262,46,0,1,0,50.1,175.7,1,8,0.542
263,55,1,1,0,52.6,157.9,0,2,0.592
264,40,1,1,0,66.6,168.3,0,4,0.535
265,54,1,1,0,72.3,172.4,0,10,0.704
266,28,0,1,0,52.4,157.2,0,4,0.481
267,30,1,1,0,68.3,171.9,1,2,0.537
268,46,1,1,0,53.6,141.2,1,2,0.717
269,46,1,1,0,56.7,171.1,0,5,0.649
270,51,1,1,1,56.8,154.3,1,2,0.95
271,41,0,1,0,53.2,160.9,0,3,0.534
272,40,1,1,0,57.8,164.4,0,6,0.231
273,68,1,1,1,46.3,147.9,1,1,0.933
274,43,0,1,1,46.4,171.7,0,1,0.531
275,19,0,0,0,61.3,170.9,0,6,0.324
276,41,0,1,0,58.7,168.2,1,8,0.688
277,41,1,1,0,53.2,160.5,1,8,0.638
278,50,0,1,1,47.7,152.8,1,1,0.545
279,52,1,1,0,65.9,168.9,1,9,0.887
280,31,0,1,0,58.1,164.6,1,4,0.535
